Analog1, Analog2, Digital1, Digital2
12536,9274,0,0
12310,9109,0,0
12337,9190,0,0
12212,9274,0,0
12206,9166,0,0
12211,9320,0,0
12349,9240,0,0
12216,9199,0,0
12324,9318,0,0
12228,9291,0,0
12300,9207,0,0
12240,9246,0,0
12292,9217,0,0
12164,9304,0,0
12181,9142,0,0
12290,9327,0,0
12324,9190,0,0
12168,9293,0,0
12486,9146,0,0
12175,9371,0,0
12209,9330,0,0
12119,9102,0,0
12125,9289,0,0
12205,9298,0,0
12119,9259,0,0
12284,9423,0,0
12145,9265,0,0
12240,9370,0,0
11809,9418,0,0
12125,9233,0,0
12194,9173,0,0
11943,9367,0,0
12100,9376,0,0
12092,9285,0,0
12074,9188,0,0
12095,9228,0,0
12016,9272,0,0
12024,9332,0,0
11948,9197,0,0
12034,9350,0,0
12098,9276,0,0
11942,9245,0,0
11892,9198,0,0
12128,9222,0,0
11965,9144,0,0
11964,9216,0,0
11933,9313,0,0
12014,9239,0,0
12047,9233,0,0
11928,9178,0,0
11855,9307,0,0
11964,9324,0,0
12071,9330,0,0
12036,9193,0,0
12035,9217,0,0
11983,9389,0,0
11944,9383,0,0
11956,9247,0,0
12018,9346,0,0
11914,9332,0,0
11867,9320,0,0
11877,9179,0,0
11850,9245,0,0
12017,9279,0,0
11925,9273,0,0
11775,9291,0,0
12006,9200,0,0
11926,9447,0,0
11880,9174,0,0
11809,9365,0,0
12077,9277,0,0
11807,9321,0,0
11755,9316,0,0
11807,9303,0,0
11942,9234,0,0
11946,9417,0,0
11905,9216,0,0
11983,9255,0,0
11872,9370,0,0
11790,9454,0,0
11803,9213,0,0
11835,9377,0,0
11907,9213,0,0
11763,9432,0,0
11859,9212,0,0
11880,9372,0,0
11951,9329,0,0
11829,9355,0,0
11821,9267,0,0
11903,9275,0,0
11932,9154,0,0
11900,9150,0,0
12036,9190,0,0
11890,9242,0,0
11842,9250,0,0
11958,9408,0,0
11900,9283,0,0
11868,9403,0,0
11828,9301,0,0
11906,9323,0,0
11941,9204,0,0
11782,9331,0,0
11925,9356,0,0
11982,9486,0,0
11937,9285,0,0
11846,9333,0,0
11630,9192,0,0
11854,9165,0,0
11954,9256,0,0
11923,9199,0,0
11892,9220,0,0
11741,9334,0,0
11845,9385,0,0
11794,9275,0,0
11948,9259,0,0
11847,9287,0,0
11873,9243,0,0
11820,9362,0,0
11530,9262,0,0
11835,9234,0,0
11787,9313,0,0
11818,9194,0,0
11804,9350,0,0
11736,9351,0,0
11834,9129,0,0
11682,9199,0,0
11770,9335,0,0
11776,9285,0,0
11636,9292,0,0
11753,9207,0,0
11809,9259,0,0
11782,9270,0,0
11782,9197,0,0
11728,9302,0,0
11842,9447,0,0
11851,9235,0,0
11800,9286,0,0
11682,9185,0,0
11803,9165,0,0
11714,9050,0,0
11625,9295,0,0
11971,9386,0,0
11677,9193,0,0
11796,9254,0,0
11743,9361,0,0
11862,9283,0,0
11775,9218,0,0
11801,9306,0,0
11708,9331,0,0
11765,9272,0,0
11850,9194,0,0
11673,9269,0,0
11697,9264,0,0
11789,9357,0,0
11780,9161,0,0
11925,9220,0,0
11864,9263,0,0
11745,9390,0,0
11743,9366,0,0
11726,9295,0,0
11658,9129,0,0
11569,9263,0,0
11870,9303,0,0
11755,9249,0,0
11783,9237,0,0
11694,9197,0,0
11730,9388,0,0
11719,9329,0,0
11774,9248,0,0
11625,9319,0,0
11829,9166,0,0
11558,9167,0,0
11676,9275,0,0
11816,9313,0,0
11885,9241,0,0
11708,9263,0,0
11960,9328,0,0
11594,9271,0,0
11699,9313,0,0
11902,9300,0,0
11780,9389,0,0
11797,9378,0,0
11753,9220,0,0
11739,9253,0,0
11853,9226,0,0
11730,9251,0,0
11839,9190,0,0
11855,9346,0,0
11809,9356,0,0
11828,9215,0,0
11600,9271,0,0
12004,9277,0,0
11702,9435,0,0
11819,9277,0,0
12036,9384,0,0
11935,9186,0,0
11791,9244,0,0
11893,9225,0,0
12015,9450,0,0
11942,9431,0,0
11871,9321,0,0
11677,9367,0,0
11963,9203,0,0
11907,9238,0,0
11711,9232,0,0
11903,9330,0,0
11838,9304,0,0
11814,9280,0,0
11967,9378,0,0
11891,9319,0,0
11887,9460,0,0
11706,9248,0,0
11795,9182,0,0
11917,9015,0,0
11701,9372,0,0
11837,9297,0,0
11665,9313,0,0
11759,9289,0,0
11859,9178,0,0
11761,9363,0,0
11719,9351,0,0
11781,9269,0,0
11800,9324,0,0
11835,9269,0,0
11634,9303,0,0
11778,9244,0,0
11753,9230,0,0
11933,9272,0,0
11919,9162,0,0
11859,9143,0,0
11907,9141,0,0
11911,9273,0,0
12059,9452,0,0
11976,9146,0,0
11845,9240,0,0
11951,9342,0,0
11655,9228,0,0
11958,9235,0,0
11857,9241,0,0
11851,9153,0,0
11860,9240,0,0
11821,9379,0,0
11807,9230,0,0
11770,9245,0,0
11853,9195,0,0
11924,9255,0,0
11820,9329,0,0
11851,9305,0,0
11742,9238,0,0
11877,9138,0,0
11865,9191,0,0
11835,9292,0,0
11729,9325,0,0
11781,9326,0,0
11760,9258,0,0
11566,9221,0,0
11586,9263,0,0
11951,9243,0,0
11819,9185,0,0
11907,9138,0,0
11783,9257,0,0
11948,9332,0,0
11902,9293,0,0
11858,9410,0,0
12039,9317,0,0
11940,9312,0,0
11885,9259,0,0
12056,9381,0,0
