Analog1, Analog2, Digital1, Digital2
13369,14288,0,0
13442,14200,0,0
13356,14230,0,0
13340,14275,0,0
13294,14236,0,0
13238,14142,0,0
13366,14125,0,0
13343,14236,0,0
13352,14134,0,0
13245,13961,0,0
13424,14181,0,0
13443,14129,0,0
13479,14200,0,0
13365,14207,0,0
13448,14173,0,0
13390,14264,0,0
13536,14244,0,0
13276,14326,0,0
13297,14084,0,0
13305,14121,0,0
13363,14077,0,0
13374,14062,0,0
13393,14149,0,0
13543,14182,0,0
13233,14129,0,0
13401,14068,0,0
13263,14339,0,0
13343,14107,0,0
13459,14232,0,0
13411,14220,0,0
13461,14127,0,0
13274,14196,0,0
13328,14393,0,0
13100,14120,0,0
13298,14033,0,0
13157,14108,0,0
13329,14088,0,0
13225,14117,0,0
13344,14082,0,0
13183,14204,0,0
13227,14099,0,0
13376,14118,0,0
13359,14206,0,0
13354,14402,0,0
13250,14070,0,0
13387,14171,0,0
13360,14414,0,0
13432,14239,0,0
13302,14042,0,0
13298,14197,0,0
13277,14229,0,0
13163,14188,0,0
13268,14047,0,0
13235,14064,0,0
13293,14045,0,0
13321,14228,0,0
13251,14022,0,0
13316,14165,0,0
13298,14125,0,0
13178,14208,0,0
13344,14154,0,0
13234,14303,0,0
13345,14153,0,0
13154,14166,0,0
13196,14152,0,0
13485,14171,0,0
13369,14187,0,0
13411,14108,0,0
13251,14306,0,0
13447,14225,0,0
13324,14173,0,0
13481,14213,0,0
13406,14207,0,0
13258,14236,0,0
13326,14093,0,0
13384,14063,0,0
13143,14095,0,0
13322,14185,0,0
13448,14105,0,0
13258,14306,0,0
13265,14167,0,0
13393,14224,0,0
13216,14191,0,0
13271,14315,0,0
13460,14181,0,0
13279,14018,0,0
13204,14060,0,0
13421,14099,0,0
13320,14261,0,0
13393,14050,0,0
13265,14107,0,0
13235,14043,0,0
13334,14151,0,0
13334,14014,0,0
13351,14030,0,0
13381,14172,0,0
13236,13865,0,0
13191,14155,0,0
13168,14024,0,0
13281,13992,0,0
13194,14031,0,0
13170,14022,0,0
13179,14168,0,0
13278,14143,0,0
13274,14083,0,0
13211,14013,0,0
13389,14077,0,0
13262,14152,0,0
13225,14330,0,0
13244,14102,0,0
13194,14186,0,0
13295,14238,0,0
13352,14120,0,0
13460,14085,0,0
13206,14093,0,0
13117,14184,0,0
13330,14055,0,0
13306,14004,0,0
13251,14166,0,0
13184,14126,0,0
13354,14213,0,0
13241,14144,0,0
13334,14109,0,0
13398,14194,0,0
13172,14121,0,0
13349,14174,0,0
13328,14115,0,0
13205,14134,0,0
13469,14111,0,0
13495,14144,0,0
13398,14092,0,0
13399,14218,0,0
13428,14205,0,0
13201,14165,0,0
13314,14154,0,0
13347,14026,0,0
13369,14064,0,0
13389,13960,0,0
13240,14109,0,0
13293,14121,0,0
13265,14165,0,0
13351,14156,0,0
13241,13967,0,0
13478,14076,0,0
13362,14062,0,0
13602,14197,0,0
13288,14207,0,0
13293,14111,0,0
13345,14140,0,0
13345,14137,0,0
13209,14073,0,0
13408,14049,0,0
13223,14063,0,0
13525,14089,0,0
13447,14119,0,0
13264,14079,0,0
13477,14223,0,0
13321,14035,0,0
